Site,Type,Count,SiteBeg,SiteEnd,TypeBeg,TypeEnd
Swingle's Sample,Aravaipa Red,25,1300,1425,1200,1400
Swingle's Sample,Belford Red,2,1300,1425,1300,1450
Swingle's Sample,"Black-on-red, Undifferentiated",1,1300,1425,700,1700
Swingle's Sample,"Brown Corrugated Ware, Undifferentiated",16,1300,1425,800,1400
Swingle's Sample,Cliff Polychrome,20,1300,1425,1350,1450
Swingle's Sample,Gila Polychrome,9,1300,1425,1325,1450
Swingle's Sample,Gila/Tonto Polychrome,1,1300,1425,1325,1450
Swingle's Sample,Maverick Mountain Black-on-red,1,1300,1425,1275,1325
Swingle's Sample,"Maverick Mountain type, Undifferentiated",1,1300,1425,1275,1450
Swingle's Sample,Pinto/Gila Polychrome,21,1300,1425,1300,1450
Swingle's Sample,Pinto-Gila Polychrome A,3,1300,1425,1300,1350
Swingle's Sample,"Plain Brown Ware, Undifferentiated",775,1300,1425,200,1450
Swingle's Sample,"Red Ware type, Undifferentiated",49,1300,1425,700,1700
Swingle's Sample,"Roosevelt Polychrome, Undifferentiated",273,1300,1425,1280,1450
Swingle's Sample,San Carlos Red,14,1300,1425,1200,1400
Swingle's Sample,San Carlos Red-on-brown,5,1300,1425,1250,1450
Swingle's Sample,Tonto Polychrome,2,1300,1425,1350,1450
Swingle's Sample,Tucson Black-on-red,1,1300,1425,1275,1450
Bajada Site,Aravaipa Red,18,1300,1425,1200,1400
Bajada Site,"Brown Corrugated Ware, Undifferentiated",1,1300,1425,800,1400
Bajada Site,Cliff Polychrome,3,1300,1425,1350,1450
Bajada Site,"Early Middle Gila Red-on-brown variant, Undifferentiated",1,1300,1425,700,1150
Bajada Site,Gila Polychrome,5,1300,1425,1325,1450
Bajada Site,Maverick Mountain Black-on-red,2,1300,1425,1275,1325
Bajada Site,Pinto/Gila Polychrome,2,1300,1425,1300,1450
Bajada Site,"Plain Brown Ware, Undifferentiated",152,1300,1425,200,1450
Bajada Site,"Red Ware type, Undifferentiated",35,1300,1425,700,1700
Bajada Site,"Roosevelt Black-on-red, Undifferentiated",1,1300,1425,1275,1375
Bajada Site,"Roosevelt Polychrome, Undifferentiated",56,1300,1425,1280,1450
Bajada Site,Tonto Polychrome,2,1300,1425,1350,1450
Bajada Site,Zoned Corrugated Brown Ware,1,1300,1425,1000,1400
Buzan,Aravaipa Red,95,1200,1300,1200,1400
Buzan,"Black-on-red, Undifferentiated",3,1200,1300,700,1700
Buzan,"Brown Corrugated Ware, Undifferentiated",54,1200,1300,800,1400
Buzan,Gila Butte/Santa Cruz/Sacaton Red-on-buff,1,1200,1300,750,1150
Buzan,Maverick Mountain Black-on-red,1,1200,1300,1275,1325
Buzan,Pinto/Gila Polychrome,3,1200,1300,1300,1450
Buzan,"Plain Brown Ware, Undifferentiated",685,1200,1300,200,1450
Buzan,"Red Ware type, Undifferentiated",14,1200,1300,700,1700
Buzan,"Red-on-brown, Undifferentiated",1,1200,1300,700,1450
Buzan,Rincon Red-on-brown,1,1200,1300,950,1150
Buzan,"Roosevelt Polychrome, Undifferentiated",9,1200,1300,1280,1450
Buzan,San Carlos Red,30,1200,1300,1200,1400
Buzan,San Carlos Red-on-brown,9,1200,1300,1250,1450
Buzan,Tanque Verde Red-on-brown,3,1200,1300,1150,1350
Buzan,Tucson Black-on-red,1,1200,1300,1275,1450
Buzan,"White Mountain type, Undifferentiated; Early",1,1200,1300,1000,1300
Ash Terrace,Aravaipa Red,539,1200,1400,1200,1400
Ash Terrace,"Brown Corrugated Ware, Undifferentiated",16,1200,1400,800,1400
Ash Terrace,Cliff Polychrome,6,1200,1400,1350,1450
Ash Terrace,Gila Butte/Santa Cruz/Sacaton Red-on-buff,2,1200,1400,750,1150
Ash Terrace,Gila Polychrome,4,1200,1400,1325,1450
Ash Terrace,"Late Middle Gila Red-on-brown variant, Undifferentiated",5,1200,1400,1150,1350
